message_id,text,difficulty_bucket,difficulty_score,true_intent,gold_reply_notes,true_escalate,true_escalate_reason
1401738,@XboxSupport I can't sign into my Xbox. The code is 0x87DD0017,typical,0,account_data_issue,Must not guess at the cause; direct to account-specific troubleshooting for this error code.,True,Sign-in failure with a specific error code -- account access issue.
1829394,@XboxSupport Messages won't load on console or app and I can't even connect to my console via the app. Site says everything is green...,ambiguous,2,network_connectivity,Acknowledge the status-page discrepancy rather than just pointing back to it.,True,Status page says everything is fine but symptoms say otherwise -- needs real investigation.
1090736,"@XboxSupport, I am having trouble getting games and apps to work. They worked but I started downloading a new game and nothing will start.",typical,0,game_crash_bug,Suggest checking storage space and restarting the console.,False,Standard troubleshooting for a stalled install.
2749888,@XboxSupport Hello i'm having major connectivity issues with my Brand New xbox 1s. I need assistance asap please!!,edge,1,network_connectivity,Treat as urgent given a brand-new device; don't assume it's a simple setup issue.,True,"New device, urgent request, possible manufacturing defect."
513843,@XboxSupport yes I️ can access it on my main account but not my secondary,typical,0,account_data_issue,Explain that access can differ by account/permissions; check specifics before promising a fix.,True,Access works on one account but not another -- account-specific permissions issue.
1005416,"@XboxSupport The XboxOne Update, that applied itself while I was on vacation, deleted ALL my Local saved games. My kids are in tears!",edge,1,account_data_issue,Acknowledge the real loss and emotional impact; don't just explain how updates work.,True,"Significant data loss (all local saves), high emotional impact on the family."
649492,"@XboxSupport just got an xbox one s , its on the update part of installation, it was on 85% but I left it to keep downloading but the screen tinted black like usual afk but then you know normally if you dont play it turns off so it did that and i turn it on, its at 2%, why,why?!!",ambiguous,2,hardware_issue,Must not suggest just waiting again; update progress reversing suggests real corruption.,True,"Update progress went backward (85% to 2%) -- likely corruption, new device."
1354162,"@XboxSupport Can't send messages or join party chat on my Xbox. Open NAT, multiple networks, hard reset, no offenses.",ambiguous,2,network_connectivity,Must not repeat NAT/network/reset advice -- already tried.,True,Multiple standard network fixes already attempted.
177183,"@XboxSupport Oh i am so on the updates tbing too.  And im doing hard power cycles, anything i can think of.  Sent feedback.  Chat, phone, email, over ans over.  No need for the lite or medium support.  Ive hit it all AIl I am pretty sure.  But therr has to be w
A way",edge,1,other_unclear,Acknowledge they've exhausted standard support channels; route directly to advanced support.,True,Customer explicitly states standard/lite/medium support has already been tried extensively.
2707851,"@XboxSupport Whenever I try and use watchtower it just says ""We're still setting up your account with twitter..."" It then says if it happens for over an hour to contact support.",typical,0,account_data_issue,Acknowledge the stated 1-hour threshold has likely passed; don't just repeat the app's own message.,True,Third-party (Twitter) account-linking feature stuck past its own stated wait time.
260209,@XboxSupport Currently experiencing party issues but the site says all services are available. All kinds of issues including disconnecting.,ambiguous,2,network_connectivity,Acknowledge the status-page discrepancy.,True,Status page says available but real symptoms (disconnects) persist.
2301582,"@XboxSupport Getting error code 0x80040900 on my One X.
Becomes unresponsive and goes to black screen. Power down for 5 mins then reboot and it's ok again. This has happened several times in the 5 days I've had it. Any ideas?",ambiguous,2,hardware_issue,Treat as a likely defective unit given the repeated pattern on a brand-new console.,True,"New console (5 days old), repeated unresponsive/black-screen pattern -- likely hardware fault."
1251517,@XboxSupport No good. I am unable to fully download and play on my 360 either. It isn’t showing up in the Xbox one store with the other games.,typical,0,account_data_issue,Must not just suggest re-downloading; check why the title isn't showing in the library.,True,Game missing from library/store on the account.
2703709,@XboxSupport Yes once I changed the setting back to 1080p it played the dvd but I think for it being the most powerful console out it should know the difference and auto change like it figured out my tv was 4K by its self,typical,0,hardware_issue,Acknowledge the feedback about auto-detection; don't promise a fix is coming.,False,"Self-resolved by changing a setting; this is feedback, not an active issue."
1059769,@ArgosHelpers I brought a new Xbox one s yesterday Friday and I’m having problems with it The I can’t download games from disc 1/2,ambiguous,2,hardware_issue,Suggest standard disc-read troubleshooting for a new console.,False,"New console, disc install issue -- standard first response."
769787,@XboxSupport Problem. When a mic or controller disconnects you get forced into gamechat? Makes no sense,ambiguous,2,how_to_question,"Explain the intended behavior/design reasoning, or note it as known confusing behavior.",False,"Question about unexpected but non-broken feature behavior, not a technical fault."
1457875,@XboxSupport I need help with my Xbox account,typical,0,other_unclear,Ask what specifically is wrong with the account before responding.,True,Names 'account' but gives no specifics on the actual problem.
2303810,@XboxSupport @15913 what am I missing. Have the #XboxInsidetHub installed but just get this screen when I open it... https://t.co/SHhgEfJT8z,adversarial,3,game_crash_bug,"Ask for more detail on the screen/error shown, offer standard app troubleshooting.",False,"App display issue, standard first response."
455213,@223060 @XboxSupport I’m having the same exact problem. Lights come on then go off on the hauppauge tv tuner. No channels show up. Guide doesn’t work.,adversarial,3,hardware_issue,Offer standard accessory troubleshooting; note third-party tuner support may be limited.,False,"Third-party TV tuner accessory issue, standard first response."
2508707,@XboxSupport renewed gold live but can’t play online 😒 battlefront2 is out! Help please @274992,edge,1,account_data_issue,Must not assume renewal succeeded; check subscription status.,True,Paid subscription renewal not granting expected access.
