message_id,text,difficulty_bucket,difficulty_score,true_intent,gold_reply_notes,true_escalate,true_escalate_reason
357494,@XboxSupport Halo Wars 2 has now downloaded 14 times. It refuses to stay uninstalled. Blew right through my monthly bandwidth cap. FIX?,typical,0,game_crash_bug,Acknowledge repeated failure to stay uninstalled; must not just suggest uninstalling again.,True,"Repeated failure, real bandwidth cost incurred."
2573099,"@XboxSupport Hi ordered fifa18 icon edition and not received any of the ronaldo loan packs, spoke to ure support and no help and can’t find email on your site to get in touch .! Please help .!!",adversarial,4,account_data_issue,Must not repeat 'contact support' -- customer states that already failed; needs real follow-up.,True,"Missing purchased content, prior support contact unsuccessful."
1595790,@XboxSupport I spent 60$ on a game that doesn't even work half of the damn time. Can always count on xbox for having shitty servers.,edge,1,network_connectivity,"Acknowledge frustration, avoid dismissive tone; needs real diagnosis not generic reassurance.",True,"Money spent, implies persistent unresolved issue."
2142683,"@XboxSupport Hey when I go to add an existing account to my Xbox, it doesn't let me and forces me to use that email address to make a new account",typical,0,account_data_issue,Explain account-merge/email conflict process clearly.,True,"Real account-linking action, not just information."
1103261,"@XboxSupport hi, i have only 10sec to login to my internet builing network before the xbox starts testing the connexion. How can i fix this?",ambiguous,2,network_connectivity,Offer standard connection-timeout troubleshooting.,False,Technical but standard troubleshooting question.
1708141,@XboxSupport any reason when I’m in a party I get booted and it says Party Encountered An Error Iv hard reset Xbox and reset WiFi,typical,0,network_connectivity,Must not suggest hard reset or WiFi reset again -- already tried.,True,"Standard troubleshooting (hard reset, WiFi reset) already attempted."
1578843,@ATVIAssist @115754 @115766 @115765 for 3 days now I’ve been trying to redeem my pre order code and no one is helping @XboxSupport https://t.co/2e0q0RlD0h,edge,1,code_activation,Must not repeat generic 'try again' advice -- 3 days unresolved.,True,"Unresolved for 3 days, money involved."
1706502,@XboxSupport  hello anyone can tell me whats going onniver an hour now waiting to go online and play my game,typical,0,network_connectivity,"Acknowledge extended wait, don't just repeat generic status check advice.",True,"Extended wait time, likely past first-line troubleshooting."
266305,Xbox servers fucked?,ambiguous,2,network_connectivity,Point to server status page if available.,False,Brief server-status question.
2654491,@XboxSupport hi was wondering if anything was going on with @138777 refunds I have invested money and time into the game that didn't look like it was shutting down,ambiguous,2,refund_request,Must not promise a refund outcome without checking policy/case specifics.,True,Money and refund-policy question.
1988224,@XboxSupport I can't connect to the bf1 cte please help,typical,0,network_connectivity,Offer standard beta/CTE connectivity troubleshooting.,False,Standard troubleshooting for a test environment.
1869386,@XboxSupport this is absolutely ridiculous. I've hard reset and tried everything! I hate this. https://t.co/bJy0zGKkDA,edge,1,other_unclear,"Ask what specifically was tried and what's still failing, rather than offer another generic fix.",True,"States 'tried everything', high frustration, no specific symptom named."
2138464,"@XboxSupport Hi ! Is it possible to get a refund on a gold membership, after it got renewed ? Thanks",edge,1,refund_request,Must not promise refund outcome without checking policy.,True,Money involved -- membership refund request.
1132939,@XboxSupport is it possible to order the  limited edition SCUF FORZA ELITE controller in the Netherlands. I can only see it in the usa store,adversarial,3,how_to_question,Answer the regional-availability question factually.,False,"Informational, no account action."
1852562,@XboxSupport Actually it was October as I was beta testing. It used to update every October. 👍 Can it please be corrected?,typical,0,other_unclear,"Acknowledge the correction; low-stakes, doesn't need deep investigation.",False,"Fragment referencing an unstated prior exchange, low stakes."
2796685,@XboxSupport Are the any issues with the multiplayer and single player of the Forza Motorsport 7? Disc and Downloads?,ambiguous,2,game_crash_bug,Check for known issues with the specific game/mode described.,False,Standard known-issue lookup.
