message_id,text,difficulty_bucket,difficulty_score,true_intent,gold_reply_notes,true_escalate,true_escalate_reason
197303,@XboxSupport I can’t play my game disc on my Xbox what do I do,typical,0,hardware_issue,"Suggest cleaning the disc / checking the drive, standard first step.",False,"Common disc-read issue, generic advice low-risk."
154678,@XboxSupport Ive contacted support 5 times but nobody can fix my home xbox problem they’ve made me do the same thing and told me to wait but never works. I cant play my digital games offline and somebody probably has access on my live gold and games!! https://t.co/3FqqH7EE1k,ambiguous,2,account_data_issue,Must not dismiss the security concern; take the possible unauthorized access claim seriously.,True,"Possible unauthorized account access, 5 prior unresolved contacts."
2912023,@806093 @115754 @115765 @115786 @XboxSupport @115766 Dude. Absolutely freaking ridiculous. I get kicked out of games all the time. Shit freezes all the time. Whenever I'm in a party with people literally nothing works.,edge,1,game_crash_bug,"Acknowledge multiple symptoms, don't offer a single generic fix for what sounds like several issues.",True,"Multiple unresolved symptoms, high frustration, likely past first-line troubleshooting."
1162567,@ATVIAssist @XboxSupport Error code 103294,ambiguous,2,other_unclear,Ask for more context (which game/action) before responding.,True,"Bare error code, no context."
1348694,@XboxSupport how do I put Xbox live gold on a child account so my daughter can play minecraft with me ?,ambiguous,2,how_to_question,Give clear child-account + Gold setup steps.,False,"Informational, parental-controls setup."
2209826,@XboxSupport My xbox one x won't eject disc?,typical,0,hardware_issue,"Suggest standard disc-eject troubleshooting (manual eject, power cycle).",False,"Common issue, generic advice low-risk."
1407173,@447073 @118625 @115786 It also comes with Forza 7! Right now though it appears my gears 4 code doesn't work properly. So I need to figure that out.,edge,1,code_activation,Must not assume the code is invalid without checking.,True,Paid code not working properly.
2300740,@115786 @115787 @XboxSupport everytime I use Netflix on my Xbox one X Scorpio edition. The screen goes black and the console turns off and I have to hard reset everytime. Is there a fix?!?,edge,1,hardware_issue,"Treat as a serious symptom (full shutdown), not a routine app crash.",True,Console fully powers off repeatedly -- more serious than a typical app crash.
1020618,@XboxSupport Let me rephrase is It possible to have the PC and Xbox connect to LIVE via wifi But dedicate the ethernet solely to streaming content from the xbox to the PC (2 Separate LANs),typical,0,how_to_question,Answer the specific dual-network setup question factually.,False,Advanced but purely informational networking question.
2801079,@XboxSupport Can i change the age at all?,typical,0,how_to_question,"Point to age-change process, note identity verification is typically required.",True,Age/parental-control setting -- consistent with earlier identical message.
2244407,@XboxSupport Did I say minutes? It took literally seconds to disconnect when I swapped them just now.,ambiguous,2,other_unclear,Ask for context on what was being compared/swapped.,True,"Mid-conversation fragment, references unstated prior context."
268860,@XboxSupport having huge issueee. Already sent a messagee. Please reply. My ultimate forza digi download wont load.,ambiguous,2,game_crash_bug,Acknowledge the prior unanswered message before offering troubleshooting.,True,"States a prior message went unanswered -- needs a real response, not another generic one."
1075892,@XboxSupport @115786 just got forced to update my xbox even though i didnt want to even turned auto update off really? The new dashboard is utter garbage and you cant even view screenshots full screen without them zooming hundred times the size games keep crashing #worstupdate,ambiguous,2,game_crash_bug,Address the crashing specifically; don't just acknowledge the broader complaint.,True,"Multiple stacked complaints, explicit frustration (#worstupdate)."
338390,"@XboxSupport I'm having issues with my Fallout 3. got a code with my FA4, put it in, linked to my accnt, but I don't own it apparently? Help",typical,0,account_data_issue,Must not promise ownership will resolve itself; needs entitlement verification.,True,Entitlement/ownership issue after linking a code.
615591,@XboxSupport love the broad and general answer you give. Tell us how long its down for its that simple... oh wait you cant,typical,0,other_unclear,"Acknowledge the valid criticism, avoid another generic/templated reply.",True,"Sarcastic complaint about support quality itself, not a product issue."
2972586,"@XboxSupport Yes, and it always makes a grinding noise when reading a disc",typical,0,hardware_issue,Suggest cleaning disc first; note that a persistent grinding noise may need a repair referral.,False,"Standard first response, though may escalate to repair if unresolved."
1415096,@178885 keys purchased and yet again not appearing. This is the last time I waste money on RL. This happens all the time!! @XboxSupport,edge,1,code_activation,Must not dismiss; needs account-specific purchase verification.,True,"Money involved, explicit repeated-issue and churn signal."
1483383,@XboxSupport Yeah none of that helped. I already did all that. It's a server problem.,typical,0,network_connectivity,Must not repeat generic troubleshooting already stated as tried.,True,Customer states standard fixes already failed -- needs real diagnosis.
947107,@115790 hi my fifa has been stuck on this for 15 mins. I did a reset and everything @XboxSupport https://t.co/dkSlQlAIlL,typical,0,game_crash_bug,Must not just suggest a reset -- already tried.,True,"Reset already attempted, issue persists."
1354167,@115786 @XboxSupport @9914 Some please explain to me why my new live content for Madden 18 has never downloaded! It’s just a blank bar!?,edge,1,game_crash_bug,Suggest checking storage space and restarting the download.,False,Standard download-issue troubleshooting.
1277486,@115786 @XboxSupport I need help ASAP please,adversarial,3,other_unclear,Ask what the actual issue is before responding.,True,"Zero detail given, only urgency."
199879,I feel like I’m being punked by @XboxSupport ive been hung up on 3 times now after I ask for a refund.,typical,0,refund_request,"Acknowledge the repeated bad experience, don't just process a generic refund reply.",True,"Money involved, repeated poor service experience (hung up on 3 times)."
2516434,@XboxSupport I bought a pack for marvel heroes Omega on 10/27/2017. Game is shutting down out of nowhere. How do I get a refund? Feeling scammed.,ambiguous,2,refund_request,"Acknowledge the situation seriously, don't dismiss 'feeling scammed'.",True,"Money involved, explicit distress signal."
1695605,@XboxSupport It's ok now. It just didn't tell me the game needed an update.,adversarial,3,other_unclear,Brief acknowledgment only.,False,"Self-resolved, informational follow-up."
1481758,@XboxSupport I cant play online but i can download a Xbox live gold game mike trackmania for free?,typical,0,network_connectivity,Ask for more detail distinguishing download vs. online-play issue.,False,Standard online-play troubleshooting.
125985,@XboxSupport What if the age on an  account is not the of the person using the account. Is there a way to change the age?,ambiguous,2,how_to_question,"Point to age-change process, note verification is typically required.",True,"Account/parental-control setting, same reasoning as similar message."
194843,"@161793 @161794 @XboxSupport @115787 @115786 This crash is happening throughout the whole system. Doesn't matter what game it is. Party / Skype guarantees a crash

Worst Alpha Build",edge,1,game_crash_bug,Note this may be an Insider/Alpha build issue needing specialized handling.,True,"System-wide crash, references an Alpha Build -- likely needs specialized handling."
632657,@XboxSupport Black ops 3 has server issues too,typical,0,network_connectivity,Point to known server status if available.,False,Known server-status issue.
2751910,@XboxSupport Is there like a power mode where the console “sleeps” so I can still have the installation going?,typical,0,how_to_question,Answer the sleep-mode/installation question factually.,False,Informational feature question.
2654554,@XboxSupport Don’t work...,adversarial,4,other_unclear,Ask what specifically isn't working.,True,Zero context given.
1759995,"@XboxSupport Found out the problem, hdmi is 1.4 not 2.0. Thank you though.",adversarial,3,hardware_issue,"Brief acknowledgment only, no action needed.",False,Self-resolved (HDMI version mismatch).
2646679,Hey @XboxSupport why TF does tho happen in 2017 when I’ve had the system and the controller linked for months and months?! Is it too much to ask that my technology work? https://t.co/OvHrCx5SLY,adversarial,4,other_unclear,Ask for the specific symptom before responding.,True,"Vague, no specific symptom named, high frustration."
2202213,@XboxSupport my Xbox one x keeps saying there is updates for Gears of war 4 and the downloads the entire 100+GB? I have data caps. How can I fix this issue?,ambiguous,2,how_to_question,Explain update download behavior and any options to manage size/caps.,False,Informational question about update/data-cap behavior.
2269264,"@XboxSupport Hi, I'm facing this problem with my Xbox One, message code: 0x80040506
The screen suddenly became black!
Help me please!",edge,1,hardware_issue,Suggest standard troubleshooting for the specific error code and black screen.,False,Standard troubleshooting for a named error code.
2745434,@768880 @XboxSupport My code for xbox live does not work.  Is this a common issue??,typical,0,code_activation,Must not assume the code is fine; needs account-specific check.,True,Paid code not working -- consistent with earlier identical message.
2507179,"@XboxSupport had a halo 3 lan yesterday, my Xbox one X kept crashing about 8-10 minutes into almost every game. Is this a known issue? System linked with other X1s and a 360",typical,0,game_crash_bug,Check for a known issue with the specific game/LAN setup described.,False,Standard known-issue lookup.
246153,"@XboxSupport Due to ""downloading content"" I could not play multiplayer game (F1 2017). Xbox One S. Is this a known issue? Can I resolve it? https://t.co/sNIkNA4es6",ambiguous,2,game_crash_bug,Explain the downloading-content/multiplayer-block behavior and any fix.,False,"Standard troubleshooting, download blocking play."
863729,"@XboxSupport I’ve had 2 controllers since I got the console, 2 others are about a year and a half old, and the last is only a couple months old. None connect. The Xbox is directly in front of me at the end of my bed, no more then 3-4 feet from me, not sure what interference there could be.",edge,1,hardware_issue,Suggest standard controller re-sync/interference troubleshooting.,False,Standard controller-connectivity troubleshooting.
